序号,扩展词汇,相似度,词频,关联种子词,相似度等级
1,环保认证,1,4,认证,高
2,碳认证,1,4,认证,高
3,ISO14001认证,1,4,认证,高
4,第三方环保认证,1,4,认证,高
5,碳中和认证,1,4,认证,高
6,碳核查,1,1,核查,高
7,环保核查,1,1,核查,高
8,第三方碳核查,1,1,核查,高
9,排放量核查,1,1,核查,高
10,温室气体核查,1,1,核查,高
11,ISO14001,1,9,ISO,高
12,ISO14064,1,9,ISO,高
13,ISO14064核查,1,9,ISO,高
14,ISO50001,1,9,ISO,高
15,ISO50001认证,1,9,ISO,高
16,ISO14021,1,9,ISO,高
17,ISO14021合规,0.8,1,认证,中高
18,GRI鉴证,0.85,1,认证,中高
19,ISSB合规,0.8,1,认证,中高
20,第三方环保鉴证,0.9,1,认证,中高
21,第三方碳审计,0.9,1,核查,中高
22,外部核查,0.85,1,核查,中高
23,年审,0.8,1,核查,中高
24,合规验收,0.85,1,认证,中高
25,环保专项支出,0.85,1,数据,中高
26,环保专项资金,0.85,1,数据,中高
27,绿色债券,0.85,1,数据,中高
28,碳中和专项基金,0.85,1,数据,中高
29,碳减排金额,0.9,1,数据,中高
30,年减排吨数,0.9,1,数据,中高
31,年节约用电量,0.85,1,数据,中高
32,污水排放量,0.9,1,数据,中高
33,碳排放数值,0.9,1,数据,中高
34,固废处置量,0.85,1,数据,中高
35,能耗下降率,0.85,1,数据,中高
36,环保设备投资额,0.85,1,数据,中高
37,环保技改项目,0.9,1,检测,中高
38,节能改造工程,0.9,1,检测,中高
39,可再生能源项目,0.85,1,检测,中高
40,风电项目,0.85,1,检测,中高
41,储能项目,0.85,1,检测,中高
42,污水治理项目,0.9,1,检测,中高
43,废气治理项目,0.9,1,检测,中高
44,固废处置项目,0.85,1,检测,中高
45,政府环保补贴,0.85,1,数据,中高
46,环保税收优惠,0.8,1,数据,中高
47,排污权交易,0.85,1,检测,中高
48,碳交易,0.9,1,检测,中高
49,环保资质,0.85,1,认证,中高
50,危废处置资质,0.9,1,认证,中高
51,排污许可证,0.9,1,认证,中高
52,环评批复,0.9,1,认证,中高
53,环保验收报告,0.9,1,报告,中高
54,碳盘查报告,0.9,1,报告,中高
55,温室气体排放报告,0.85,1,报告,中高
