序号,词汇,相似度,频次,关联种子词
1,废气,1,1046,废气
2,低碳,1,96,低碳
3,环境,1,552,环境
4,污染,1,63,污染
5,循环,1,29,循环
6,绿色,1,140,绿色
7,生态,1,39,生态
8,排放,1,557,排放
9,减排,1,89,减排
10,噪声,0.885,27,噪音
11,持续发展,0.812,95,可持续发展
12,污水处理站,0.8,27,污水处理
13,废水,0.767,345,废气
14,保护环境,0.745,37,环境保护
15,固废,0.718,27,污水处理
16,资源,0.681,75,自然资源
17,污水,0.68,34,污水处理
18,二氧化硫,0.678,1099,废气
19,排放口,0.667,123,排放
20,污水处理系统,0.667,51,污水处理
21,生态环境保护,0.667,41,环境保护
22,环境自行监测,0.667,36,环境监测
23,环境影响评价,0.667,35,环境影响
24,三废,0.65,46,废气
25,,,,
26,社会责任,0.647,199,可持续发展
27,安全生产,0.636,34,环境保护
28,,,,
29,,,,
30,监测,0.615,41,环境监测
31,新能源,0.608,35,环保
32,健康,0.593,61,可持续发展
33,永续发展,0.59,30,可持续发展
34,水泥,0.577,40,环保
35,立方米,0.569,74,排放
36,,,,
37,天然气,0.563,224,污水处理
38,安全,0.551,146,环保
39,,,,
40,,,,
41,亿立方米,0.536,42,水源
42,年度环境,0.533,208,环境治理
43,双碳,0.533,118,低碳
44,治理结构,0.533,87,环境治理
45,质量安全,0.533,44,空气质量
46,生态家园,0.533,40,生态保护
47,生活垃圾,0.533,37,垃圾分类
48,环保优先,0.533,34,环境保护
49,环保履责,0.533,31,环境保护
50,制造业,0.53,29,环境治理
51,法规,0.525,57,环境保护
52,烟尘,0.522,96,废气
53,,,,
54,回收,0.519,37,排放
55,石油化工,0.518,30,污水处理
56,,,,
57,,,,
58,,,,
59,,,,
60,排放标准,0.5,194,排放
61,绿色发展,0.5,124,绿色
62,间歇排放,0.5,120,排放
63,节能减排,0.5,92,节能
64,低碳优势,0.5,89,低碳
65,保护,0.5,87,生态保护
66,连续排放,0.5,84,排放
67,清洁生产,0.5,81,清洁
68,达标排放,0.5,59,排放
69,绿色工厂,0.5,57,绿色
70,循环利用,0.5,44,循环
71,纳管排放,0.5,42,排放
72,循环经济,0.5,34,循环
73,低碳发展,0.5,34,低碳
